Date,Volume,Name
2021-05-02,38177405335,BTC-USD
2021-05-03,51713139031,BTC-USD
2021-05-04,68564706967,BTC-USD
2021-05-05,69241316747,BTC-USD
2021-05-06,69523285106,BTC-USD
2021-05-07,68434023376,BTC-USD
2021-05-08,65382980634,BTC-USD
2021-05-09,65906690347,BTC-USD
2021-05-10,71776546298,BTC-USD
2021-05-11,61308396325,BTC-USD
2021-05-12,75215403907,BTC-USD
2021-05-13,96721152926,BTC-USD
2021-05-14,55737497453,BTC-USD
2021-05-15,59161047474,BTC-USD
2021-05-16,64047871555,BTC-USD
2021-05-17,74903638450,BTC-USD
2021-05-18,56187365084,BTC-USD
2021-05-19,126358098747,BTC-USD
2021-05-20,88281943359,BTC-USD
2021-05-21,82051616861,BTC-USD
2021-05-22,57377273240,BTC-USD
2021-05-23,78469274361,BTC-USD
2021-05-24,67359584098,BTC-USD
2021-05-25,56211915803,BTC-USD
2021-05-26,51346735160,BTC-USD
2021-05-27,43210968721,BTC-USD
2021-05-28,55200191952,BTC-USD
2021-05-29,45231013335,BTC-USD
2021-05-30,31646080921,BTC-USD
2021-05-31,39009847639,BTC-USD
2021-06-01,34639423297,BTC-USD
2021-06-02,33070867190,BTC-USD
2021-06-03,35460750427,BTC-USD
2021-06-04,41831090187,BTC-USD
2021-06-05,35959473399,BTC-USD
2021-06-06,28913440585,BTC-USD
2021-06-07,33683936663,BTC-USD
2021-06-08,49902050442,BTC-USD
2021-06-09,53972919008,BTC-USD
2021-06-10,43576032854,BTC-USD
2021-06-11,38699736985,BTC-USD
2021-06-12,37924228550,BTC-USD
2021-06-13,40669112838,BTC-USD
2021-06-14,43148914673,BTC-USD
2021-06-15,46420149185,BTC-USD
2021-06-16,39211635100,BTC-USD
2021-06-17,37096670047,BTC-USD
2021-06-18,36200887275,BTC-USD
2021-06-19,31207279719,BTC-USD
2021-06-20,36664034054,BTC-USD
2021-06-21,52809038594,BTC-USD
2021-06-22,58964353058,BTC-USD
2021-06-23,46317108925,BTC-USD
2021-06-24,33123368116,BTC-USD
2021-06-25,40230904226,BTC-USD
2021-06-26,38585385521,BTC-USD
2021-06-27,35511640894,BTC-USD
2021-06-28,33892523752,BTC-USD
2021-06-29,37901460044,BTC-USD
2021-06-30,34059036099,BTC-USD
2021-07-01,37838957079,BTC-USD
2021-07-02,38728974942,BTC-USD
2021-07-03,24383958643,BTC-USD
2021-07-04,24924307911,BTC-USD
2021-07-05,26721554282,BTC-USD
2021-07-06,26501259870,BTC-USD
2021-07-07,24796027477,BTC-USD
2021-07-08,29910396946,BTC-USD
2021-07-09,27436021028,BTC-USD
2021-07-10,22971873468,BTC-USD
2021-07-11,20108729370,BTC-USD
2021-07-12,24321499537,BTC-USD
2021-07-13,19120856669,BTC-USD
2021-07-14,21376531210,BTC-USD
2021-07-15,21300524237,BTC-USD
2021-07-16,23699476918,BTC-USD
2021-07-17,18895018942,BTC-USD
2021-07-18,18787986667,BTC-USD
2021-07-19,20434789545,BTC-USD
2021-07-20,23148267245,BTC-USD
2021-07-21,28203024559,BTC-USD
2021-07-22,19555230518,BTC-USD
2021-07-23,22552046192,BTC-USD
2021-07-24,21664706865,BTC-USD
2021-07-25,20856685287,BTC-USD
2021-07-26,51022126212,BTC-USD
2021-07-27,35097370560,BTC-USD
2021-07-28,38702404695,BTC-USD
2021-07-29,27167146027,BTC-USD
2021-07-30,33072782960,BTC-USD
2021-07-31,25802845343,BTC-USD
2021-08-01,26688438115,BTC-USD
2021-08-02,25595265436,BTC-USD
2021-08-03,26189830450,BTC-USD
2021-08-04,25372562724,BTC-USD
2021-08-05,35185031017,BTC-USD
2021-08-06,38226483046,BTC-USD
